00001 A00     0 Cholera                                                      Cholera
18401 Y850    1 Sequelae of motor-vehicle accident                           Sequelae of motor-vehicle accident
18402 Y859    1 Sequelae of other and unspecified transport accide           Sequelae of other and unspecified transport accidents
18403 Y86     1 Sequelae of other accidents                                  Sequelae of other accidents
18404 Y87     0 Sequelae of intentional self-harm, assault and eve           Sequelae of intentional self-harm, assault and events of undetermined intent
18405 Y870    1 Sequelae of intentional self-harm                            Sequelae of intentional self-harm
18406 Y871    1 Sequelae of assault                                          Sequelae of assault
18407 Y872    1 Sequelae of events of undetermined intent                    Sequelae of events of undetermined intent
18408 Y88     0 Sequelae of surgical and medical care as external            Sequelae of surgical and medical care as external cause
18409 Y880    1 Sequelae of adverse effects caused by drugs, medic           Sequelae of adverse effects caused by drugs, medicaments and biological substances in therapeutic use
18410 Y881    1 Sequelae of misadventures to patients during surgi           Sequelae of misadventures to patients during surgical and medical procedures
18411 Y882    1 Sequelae of adverse incidents associated with medi           Sequelae of adverse incidents associated with medical devices in diagnostic and therapeutic use
18412 Y883    1 Sequelae of surgical and medical procedures as the           Sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient or of later complication, without mention of misadventure at the time of the procedure
18413 Y89     0 Sequelae of other external causes                            Sequelae of other external causes
18414 Y890    1 Sequelae of legal intervention                               Sequelae of legal intervention
18415 Y891    1 Sequelae of war operations                                   Sequelae of war operations
18416 Y899    1 Sequelae of unspecified external cause                       Sequelae of unspecified external cause
18417 Y90     0 Evidence of alcohol involvement determined by bloo           Evidence of alcohol involvement determined by blood alcohol level
18418 Y900    1 Blood alcohol level of less than 20 mg/100 ml                Blood alcohol level of less than 20 mg/100 ml
18419 Y901    1 Blood alcohol level of 20-39 mg/100 ml                       Blood alcohol level of 20-39 mg/100 ml
18420 Y902    1 Blood alcohol level of 40-59 mg/100 ml                       Blood alcohol level of 40-59 mg/100 ml
18421 Y903    1 Blood alcohol level of 60-79 mg/100 ml                       Blood alcohol level of 60-79 mg/100 ml
18422 Y904    1 Blood alcohol level of 80-99 mg/100 ml                       Blood alcohol level of 80-99 mg/100 ml
18423 Y905    1 Blood alcohol level of 100-119 mg/100 ml                     Blood alcohol level of 100-119 mg/100 ml
18424 Y906    1 Blood alcohol level of 120-199 mg/100 ml                     Blood alcohol level of 120-199 mg/100 ml
18425 Y907    1 Blood alcohol level of 200-239 mg/100 ml                     Blood alcohol level of 200-239 mg/100 ml
18426 Y908    1 Blood alcohol level of 240 mg/100 ml or more                 Blood alcohol level of 240 mg/100 ml or more
18427 Y909    1 Presence of alcohol in blood, level not specified            Presence of alcohol in blood, level not specified
18428 Y91     0 Evidence of alcohol involvement determined by leve           Evidence of alcohol involvement determined by level of intoxication
18429 Y910    1 Mild alcohol intoxication                                    Mild alcohol intoxication
18430 Y911    1 Moderate alcohol intoxication                                Moderate alcohol intoxication
18431 Y912    1 Severe alcohol intoxication                                  Severe alcohol intoxication
18432 Y913    1 Very severe alcohol intoxication                             Very severe alcohol intoxication
18433 Y919    1 Alcohol involvement, not otherwise specified                 Alcohol involvement, not otherwise specified
18434 Y95     1 Nosocomial condition                                         Nosocomial condition
18435 Y96     1 Work-related condition                                       Work-related condition
18436 Y97     1 Environmental-pollution-related condition                    Environmental-pollution-related condition
